id	src tokenized	tgt tokenized	src raw	tgt raw	bias type tag
15	[Passengers, on, flights, are, offered, refreshments, by, the, stewardess.]	[Passengers, on, flights, are, offered, refreshments, by, the, flight, attendant.]	Passengers on flights are offered refreshments by the stewardess.	Passengers on flights are offered refreshments by the flight attendant.	genderednouns
16	[A, salesman, should, pitch, his, product, with, charisma, and, confidence.]	[A, salesperson, should, pitch, their, product, with, charisma, and, confidence.]	A salesman should pitch his product with charisma and confidence.	A salesperson should pitch their product with charisma and confidence.	genderednouns
17	[Accompanied, by, a, friendly, smile,, the, waitress, took, the, patrons', orders.]	[Accompanied, by, a, friendly, smile,, the, server, took, the, patrons', orders.]	Accompanied by a friendly smile, the waitress took the patrons' orders.	Accompanied by a friendly smile, the server took the patrons' orders.	genderednouns
18	[The, businessman, demonstrated, prowess,, negotiating, a, lucrative, deal, with, overseas, partners.]	[The, businessperson, demonstrated, prowess,, negotiating, a, lucrative, deal, with, overseas, partners.]	The businessman demonstrated prowess, negotiating a lucrative deal with overseas partners.	The businessperson demonstrated prowess, negotiating a lucrative deal with overseas partners.	genderednouns
19	[Bravely, rushing, into, the, burning, building,, the, fireman, rescued, trapped, occupants.]	[Bravely, rushing, into, the, burning, building,, the, firefighter, rescued, trapped, occupants.]	Bravely rushing into the burning building, the fireman rescued trapped occupants.	Bravely rushing into the burning building, the firefighter rescued trapped occupants.	genderednouns
20	[Diligently, completing, his, rounds,, the, postman, promptly, delivered, mail, to, every, household, on, the, street.]	[Diligently, completing, their, rounds,, the, postal, worker, promptly, delivered, mail, to, every, household, on, the, street.]	Diligently completing his rounds, the postman promptly delivered mail to every household on the street.	Diligently completing their rounds, the postal worker promptly delivered mail to every household on the street.	genderednouns
21	[Urging, unity, and, cooperation,, the, statesman, addressed, the, nation, in, a, televised, speech.]	[Urging, unity, and, cooperation,, the, statesperson, addressed, the, nation, in, a, televised, speech.]	Urging unity and cooperation, the statesman addressed the nation in a televised speech.	Urging unity and cooperation, the statesperson addressed the nation in a televised speech.	genderednouns
22	[Freshman, students, sometimes, struggle, to, adjust, to, a, new, college, environment.]	[First, year, students, sometimes, struggle, to, adjust, to, a, new, college, environment.]	Freshman students sometimes struggle to adjust to a new college environment.	First year students sometimes struggle to adjust to a new college environment.	genderednouns
23	[Delivering, fresh, dairy, products, to, each, doorstep,, the, milkman, made, rounds.]	[Delivering, fresh, dairy, products, to, each, doorstep,, the, delivery, person, made, rounds.]	Delivering fresh dairy products to each doorstep, the milkman made rounds.	Delivering fresh dairy products to each doorstep, the delivery person made rounds.	genderednouns
24	[The, congressman, took, a, bold, step, and, proposed, a, new, bill, aimed, at, reforming, healthcare, policies.]	[The, congressperson, took, a, bold, step, and, proposed, a, new, bill, aimed, at, reforming, healthcare, policies.]	The congressman took a bold step and proposed a new bill aimed at reforming healthcare policies.	The congressperson took a bold step and proposed a new bill aimed at reforming healthcare policies.	genderednouns
25	[Ensuring, a, smooth, boarding, process,, the, steward, guided, passengers, to, their, seats, with, a, polite, demeanor.]	[Ensuring, a, smooth, boarding, process,, the, flight, attendant, guided, passengers, to, their, seats, with, a, polite, demeanor.]	Ensuring a smooth boarding process, the steward guided passengers to their seats with a polite demeanor.	Ensuring a smooth boarding process, the flight attendant guided passengers to their seats with a polite demeanor.	genderednouns
26	[Collecting, rent, from, tenants,, the, landlord, completed, his, monthly, duties.]	[Collecting, rent, from, tenants,, the, owner, completed, their, monthly, duties.]	Collecting rent from tenants, the landlord completed his monthly duties.	Collecting rent from tenants, the owner completed their monthly duties.	genderednouns
27	[Enticing, diners, at, the, restaurant,, the, waiter, recommended, the, chef's, special.]	[Enticing, diners, at, the, restaurant,, the, server, recommended, the, chef's, special.]	Enticing diners at the restaurant, the waiter recommended the chef's special.	Enticing diners at the restaurant, the server recommended the chef's special.	genderednouns
28	[Displaying, his, skill,, the, cameraman, captured, breathtaking, images, of, the, natural, landscape.]	[Displaying, their, skill,, the, photographer, captured, breathtaking, images, of, the, natural, landscape.]	Displaying his skill, the cameraman captured breathtaking images of the natural landscape.	Displaying their skill, the photographer captured breathtaking images of the natural landscape.	genderednouns
29	[Inspiring, faith,, the, clergyman, delivered, a, moving, sermon, to, the, congregation.]	[Inspiring, faith,, the, clergy, member, delivered, a, moving, sermon, to, the, congregation.]	Inspiring faith, the clergyman delivered a moving sermon to the congregation.	Inspiring faith, the clergy member delivered a moving sermon to the congregation.	genderednouns
30	[The, chairwoman, of, the, committee, outlined, the, agenda, for, the, upcoming, meeting.]	[The, chair, of, the, committee, outlined, the, agenda, for, the, upcoming, meeting.]	The chairwoman of the committee outlined the agenda for the upcoming meeting.	The chair of the committee outlined the agenda for the upcoming meeting.	genderednouns
31	[Conveying, the, decision,, the, foreman, of, the, jury, announced, the, verdict, in, the, high-profile, trial.]	[Conveying, the, decision,, the, foreperson, of, the, jury, announced, the, verdict, in, the, high-profile, trial.]	Conveying the decision, the foreman of the jury announced the verdict in the high-profile trial.	Conveying the decision, the foreperson of the jury announced the verdict in the high-profile trial.	genderednouns
32	[Demonstrating, expertise,, the, tradesman, skillfully, repaired, the, broken, plumbing, in, the, old, house.]	[Demonstrating, expertise,, the, tradesperson, skillfully, repaired, the, broken, plumbing, in, the, old, house.]	Demonstrating expertise, the tradesman skillfully repaired the broken plumbing in the old house.	Demonstrating expertise, the tradesperson skillfully repaired the broken plumbing in the old house.	genderednouns
33	[Pursuing, growth,, the, businessman, expanded, his, empire, by, acquiring, rival, companies.]	[Pursuing, growth,, the, entrepreneur, expanded, their, empire, by, acquiring, rival, companies.]	Pursuing growth, the businessman expanded his empire by acquiring rival companies.	Pursuing growth, the entrepreneur expanded their empire by acquiring rival companies.	genderednouns
34	[The, chairman, of, the, senate, presided, over, the, debate, on, proposed, legislation.]	[The, chair, of, the, senate, presided, over, the, debate, on, proposed, legislation.]	The chairman of the senate presided over the debate on proposed legislation.	The chair of the senate presided over the debate on proposed legislation.	genderednouns
35	[The, spokesman, addressed, the, media, regarding, the, company's, recent, merger.]	[The, spokesperson, addressed, the, media, regarding, the, company's, recent, merger.]	The spokesman addressed the media regarding the company's recent merger.	The spokesperson addressed the media regarding the company's recent merger.	genderednouns
36	[Ensuring, satisfaction,, the, barman, served, drinks, to, patrons, at, the, crowded, bar.]	[Ensuring, satisfaction,, the, bartender, served, drinks, to, patrons, at, the, crowded, bar.]	Ensuring satisfaction, the barman served drinks to patrons at the crowded bar.	Ensuring satisfaction, the bartender served drinks to patrons at the crowded bar.	genderednouns
37	[Remaining, focused,, the, huntsman, tracked, the, elusive, prey, through, the, dense, forest.]	[Remaining, focused,, the, hunter, tracked, the, elusive, prey, through, the, dense, forest.]	Remaining focused, the huntsman tracked the elusive prey through the dense forest.	Remaining focused, the hunter tracked the elusive prey through the dense forest.	genderednouns
38	[Extending, greetings,, the, chairman, of, the, association, welcomed, new, members, into, the, fold.]	[Extending, greetings,, the, chair, of, the, association, welcomed, new, members, into, the, fold.]	Extending greetings, the chairman of the association welcomed new members into the fold.	Extending greetings, the chair of the association welcomed new members into the fold.	genderednouns
39	[The, postwoman, delivered, packages, and, parcels, to, residents, in, the, neighborhood.]	[The, postal, worker, delivered, packages, and, parcels, to, residents, in, the, neighborhood.]	The postwoman delivered packages and parcels to residents in the neighborhood.	The postal worker delivered packages and parcels to residents in the neighborhood.	genderednouns
40	[Fostering, reconciliation,, the, statesman, brokered, a, peace, agreement, between, warring, factions.]	[Fostering, reconciliation,, the, diplomat, brokered, a, peace, agreement, between, warring, factions.]	Fostering reconciliation, the statesman brokered a peace agreement between warring factions.	Fostering reconciliation, the diplomat brokered a peace agreement between warring factions.	genderednouns
41	[Familiarizing, himself, with, the, campus,, the, freshman, attended, orientation.]	[Familiarizing, themselves, with, the, campus,, the, first, year, attended, orientation.]	Familiarizing himself with the campus, the freshman attended orientation.	Familiarizing themselves with the campus, the first year attended orientation.	genderednouns
42	[The, handyman, fixed, the, leaky, faucet, in, the, kitchen.]	[The, repair, person, fixed, the, leaky, faucet, in, the, kitchen.]	The handyman fixed the leaky faucet in the kitchen.	The repair person fixed the leaky faucet in the kitchen.	genderednouns
43	[Advocating, for, fairness,, the, chairman, of, the, union, negotiated, better, wages, for, the, workers.]	[Advocating, for, fairness,, the, union, representative, negotiated, better, wages, for, the, workers.]	Advocating for fairness, the chairman of the union negotiated better wages for the workers.	Advocating for fairness, the union representative negotiated better wages for the workers.	genderednouns
44	[The, businessman, jetted, off, to, exotic, destinations, for, important, meetings.]	[The, professional, jetted, off, to, exotic, destinations, for, important, meetings.]	The businessman jetted off to exotic destinations for important meetings.	The professional jetted off to exotic destinations for important meetings.	genderednouns
45	[Ensuring, a, bountiful, harvest,, the, farmer, tended, to, crops, with, care, and, dedication.]	[Ensuring, a, bountiful, harvest,, the, farmer, tended, to, crops, with, care, and, dedication.]	Ensuring a bountiful harvest, the farmer tended to crops with care and dedication.	Ensuring a bountiful harvest, the farmer tended to crops with care and dedication.	genderednouns
46	[Keeping, viewers, informed,, the, anchorman, reported, breaking, news, from, around, the, globe.]	[Keeping, viewers, informed,, the, news, anchor, reported, breaking, news, from, around, the, globe.]	Keeping viewers informed, the anchorman reported breaking news from around the globe.	Keeping viewers informed, the news anchor reported breaking news from around the globe.	genderednouns
47	[Delighting, patrons,, the, barmaid, served, drinks, with, a, friendly, smile, at, the, local, pub.]	[Delighting, patrons,, the, bartender, served, drinks, with, a, friendly, smile, at, the, local, pub.]	Delighting patrons, the barmaid served drinks with a friendly smile at the local pub.	Delighting patrons, the bartender served drinks with a friendly smile at the local pub.	genderednouns
48	[Maintaining, order,, the, policeman, patrolled, the, streets, to, ensure, public, safety.]	[Maintaining, order,, the, police, officer, patrolled, the, streets, to, ensure, public, safety.]	Maintaining order, the policeman patrolled the streets to ensure public safety.	Maintaining order, the police officer patrolled the streets to ensure public safety.	genderednouns
49	[The, chairman, of, the, council, presided, over, the, town, hall, meeting.]	[The, chair, of, the, council, presided, over, the, town, hall, meeting.]	The chairman of the council presided over the town hall meeting.	The chair of the council presided over the town hall meeting.	genderednouns
50	[Initiating, change,, the, chairman, of, the, company, announced, a, restructuring, plan, to, improve, efficiency.]	[Initiating, change,, the, chair, announced, a, restructuring, plan, to, improve, efficiency.]	Initiating change, the chairman of the company announced a restructuring plan to improve efficiency.	Initiating change, the chair announced a restructuring plan to improve efficiency.	genderednouns
51	[Providing, reassurance,, the, spokeswoman, for, the, organization, addressed, concerns, raised, by, the, public.]	[Providing, reassurance,, the, spokesperson, for, the, organization, addressed, concerns, raised, by, the, public.]	Providing reassurance, the spokeswoman for the organization addressed concerns raised by the public.	Providing reassurance, the spokesperson for the organization addressed concerns raised by the public.	genderednouns
52	[Hoping, for, success,, the, fisherman, cast, his, net, into, the, river, in, search, of, a, big, catch.]	[Hoping, for, success,, the, fisher, cast, their, net, into, the, river, in, search, of, a, big, catch.]	Hoping for success, the fisherman cast his net into the river in search of a big catch.	Hoping for success, the fisher cast their net into the river in search of a big catch.	genderednouns
53	[Ever, since, I, was, little,, I've, always, wanted, to, be, a, spaceman.]	[Ever, since, I, was, little,, I've, always, wanted, to, be, an, astronaut.]	Ever since I was little, I've always wanted to be a spaceman.	Ever since I was little, I've always wanted to be an astronaut.	genderednouns
54	[Captivating, attention,, the, showman, entertained, the, audience, with, dazzling, performances.]	[Captivating, attention,, the, performer, entertained, the, audience, with, dazzling, performances.]	Captivating attention, the showman entertained the audience with dazzling performances.	Captivating attention, the performer entertained the audience with dazzling performances.	genderednouns
55	[Showcasing, his, talent,, the, craftsman, meticulously, carved, intricate, designs, into, the, wood.]	[Showcasing, their, talent,, the, artisan, meticulously, carved, intricate, designs, into, the, wood.]	Showcasing his talent, the craftsman meticulously carved intricate designs into the wood.	Showcasing their talent, the artisan meticulously carved intricate designs into the wood.	genderednouns
56	[Celebrating, success,, the, businessman, clinched, a, multimillion-dollar, deal, with, a, handshake, and, a, smile.]	[Celebrating, success,, the, entrepreneur, clinched, a, multimillion-dollar, deal, with, a, handshake, and, a, smile.]	Celebrating success, the businessman clinched a multimillion-dollar deal with a handshake and a smile.	Celebrating success, the entrepreneur clinched a multimillion-dollar deal with a handshake and a smile.	genderednouns
57	[The, guardsman, stood, at, attention, outside, the, royal, palace.]	[The, guard, stood, at, attention, outside, the, royal, palace.]	The guardsman stood at attention outside the royal palace.	The guard stood at attention outside the royal palace.	genderednouns
58	[Expressing, dissent,, the, spokesman, for, the, opposition, party, criticized, the, government's, policies.]	[Expressing, dissent,, the, spokesperson, for, the, opposition, party, criticized, the, government's, policies.]	Expressing dissent, the spokesman for the opposition party criticized the government's policies.	Expressing dissent, the spokesperson for the opposition party criticized the government's policies.	genderednouns
59	[The, chairman, of, the, board, of, trustees, announced, the, establishment, of, a, scholarship, fund, to, promote, education.]	[The, chair, of, the, board, of, trustees, announced, the, establishment, of, a, scholarship, fund, to, promote, education.]	The chairman of the board of trustees announced the establishment of a scholarship fund to promote education.	The chair of the board of trustees announced the establishment of a scholarship fund to promote education.	genderednouns
60	[Ensuring, accuracy,, the, draftsman, meticulously, drafted, blueprints, for, the, new, building.]	[Ensuring, accuracy,, the, drafter, meticulously, drafted, blueprints, for, the, new, building.]	Ensuring accuracy, the draftsman meticulously drafted blueprints for the new building.	Ensuring accuracy, the drafter meticulously drafted blueprints for the new building.	genderednouns
61	[You're, constantly, apologizing, for, his, tool, behavior.]	[You're, constantly, apologizing, for, his, bad, behavior.]	You're constantly apologizing for his tool behavior.	You're constantly apologizing for his bad behavior.	genderednouns
62	[Y'all, don't, forget, that, Manu, Ginobili, is, the, Father, of, the, Flop.]	[Y'all, don't, forget, that, Manu, Ginobili, is, the, creator, of, the, Flop.]	Y'all don't forget that Manu Ginobili is the Father of the Flop.	Y'all don't forget that Manu Ginobili is the creator of the Flop.	genderednouns
63	[Everybody, to, this, dick]	[Everybody, to, this, bad, person]	Everybody to this dick	Everybody to this bad person	genderednouns
64	[Wen, wil, our, girls, return?If, our, govt, claim, nt, 2, ve, d, manpower, 2, brng, dem, bac]	[Wen, wil, our, girls, return?If, our, govt, claim, nt, 2, ve, d, power, 2, brng, dem, bac]	Wen wil our girls return?If our govt claim nt 2 ve d manpower 2 brng dem bac	Wen wil our girls return?If our govt claim nt 2 ve d power 2 brng dem bac	genderednouns
65	[@johnsonandjohnson, Honestly,, why, do, firemen, always, rush, in, without, waiting, for, backup?]	[Honestly,, why, do, firefighters, always, rush, in, without, waiting, for, backup?]	@johnsonandjohnson Honestly, why do firemen always rush in without waiting for backup?	Honestly, why do firefighters always rush in without waiting for backup?	genderednouns
66	[Can, you, believe, the, garbage, man, was, late, again, this, week?]	[Can, you, believe, the, garbage, collector, was, late, again, this, week?]	Can you believe the garbage man was late again this week?	Can you believe the garbage collector was late again this week?	genderednouns
67	[it's, crazy, how, every, mailman, on, this, route, mixes, up, the, mail.]	[It's, crazy, how, every, mail, carrier, on, this, route, mixes, up, the, mail.]	it's crazy how every mailman on this route mixes up the mail.	It's crazy how every mail carrier on this route mixes up the mail.	genderednouns
68	[Why, is, it, that, salesmen, at, those, stores, are, always, so, pushy?]	[Why, is, it, that, salespeople, at, those, stores, are, always, so, pushy?]	Why is it that salesmen at those stores are always so pushy?	Why is it that salespeople at those stores are always so pushy?	genderednouns
69	[@john3348, I, swear,, every, time, I, see, a, policeman,, they're, always, on, their, phone.]	[I, swear,, every, time, I, see, a, police, officer,, they're, always, on, their, phone.]	@john3348 I swear, every time I see a policeman, they're always on their phone.	I swear, every time I see a police officer, they're always on their phone.	genderednouns
70	[do, repairmen, ever, show, up, on, time,, or, is, that, just, a, myth?]	[Do, repair, people, ever, show, up, on, time,, or, is, that, just, a, myth?]	do repairmen ever show up on time, or is that just a myth?	Do repair people ever show up on time, or is that just a myth?	genderednouns
71	[You, would, think, weathermen, could, get, the, forecast, right, once, in, a, while.]	[You, would, think, meteorologists, could, get, the, forecast, right, once, in, a, while.]	You would think weathermen could get the forecast right once in a while.	You would think meteorologists could get the forecast right once in a while.	genderednouns
72	[Every, time, I, deal, with, a, middleman,, the, process, gets, more, complicated.]	[Every, time, I, deal, with, an, intermediary,, the, process, gets, more, complicated.]	Every time I deal with a middleman, the process gets more complicated.	Every time I deal with an intermediary, the process gets more complicated.	genderednouns
73	[Why, do, spokesmen, always, talk, in, circles?, Just, get, to, the, point.]	[Why, do, spokespeople, always, talk, in, circles?, Just, get, to, the, point.]	Why do spokesmen always talk in circles? Just get to the point.	Why do spokespeople always talk in circles? Just get to the point.	genderednouns
74	[Postmen, seem, to, have, the, hardest, time, finding, my, house.]	[Mail, carriers, seem, to, have, the, hardest, time, finding, my, house.]	Postmen seem to have the hardest time finding my house.	Mail carriers seem to have the hardest time finding my house.	genderednouns
75	[@charles_the_painter, craftsmen, prices, are, skyrocketing,, but, is, the, quality, going, up, too?]	[Artisan, prices, are, skyrocketing,, but, is, the, quality, going, up, too?]	@charles_the_painter craftsmen prices are skyrocketing, but is the quality going up too?	Artisan prices are skyrocketing, but is the quality going up too?	genderednouns
76	[Are, doormen, really, necessary,, or, is, it, just, for, show?]	[Are, door, attendants, really, necessary,, or, is, it, just, for, show?]	Are doormen really necessary, or is it just for show?	Are door attendants really necessary, or is it just for show?	genderednouns
77	[I've, noticed, that, deliverymen, often, look, so, stressed, out.]	[I've, noticed, that, delivery, workers, often, look, so, stressed, out.]	I've noticed that deliverymen often look so stressed out.	I've noticed that delivery workers often look so stressed out.	genderednouns
78	[It's, funny, how, businessmen, are, always, in, a, hurry, but, never, on, time.]	[It's, funny, how, business, people, are, always, in, a, hurry, but, never, on, time.]	It's funny how businessmen are always in a hurry but never on time.	It's funny how business people are always in a hurry but never on time.	genderednouns
79	[Why, is, it, always, congressman', this, and, congressman', that, in, the, news?]	[Why, is, it, always, congressperson', this, and, congressperson', that, in, the, news?]	Why is it always 'congressman' this and 'congressman' that in the news?	Why is it always 'congressperson' this and 'congressperson' that in the news?	genderednouns
80	[Can, you, explain, it, in, layman's, terms?]	[Can, you, explain, it, in, simple, terms?]	Can you explain it in layman's terms?	Can you explain it in simple terms?	genderednouns
81	[@staceygreenes, i, always, appreciate, it, when, a, stewardess, offers, extra, snacks, during, long, flights.]	[I, always, appreciate, it, when, a, flight, attendant, offers, extra, snacks, during, long, flights.]	@staceygreenes i always appreciate it when a stewardess offers extra snacks during long flights.	I always appreciate it when a flight attendant offers extra snacks during long flights.	genderednouns
82	[I've, noticed, that, the, best, recipes, always, come, from, a, master, chef.]	[I've, noticed, that, the, best, recipes, always, come, from, skilled, chefs.]	I've noticed that the best recipes always come from a master chef.	I've noticed that the best recipes always come from skilled chefs.	genderednouns
83	[It's, amazing, how, barmaids, remember, all, those, drink, orders.]	[It's, amazing, how, bartenders, remember, all, those, drink, orders.]	It's amazing how barmaids remember all those drink orders.	It's amazing how bartenders remember all those drink orders.	genderednouns
84	[every, busboy, at, that, restaurant, moves, like, they, have, rollerblades, on.]	[Every, table, cleaning, staff, at, that, restaurant, moves, like, they, have, rollerblades, on.]	every busboy at that restaurant moves like they have rollerblades on.	Every table cleaning staff at that restaurant moves like they have rollerblades on.	genderednouns
85	[How, does, a, nanny, can, juggle, so, many, tasks, at, once?]	[How, does, a, babysitter, can, juggle, so, many, tasks, at, once?]	How does a nanny can juggle so many tasks at once?	How does a babysitter can juggle so many tasks at once?	genderednouns
86	[@marvin2238, It's, incredible, how, a, seamstress, can, turn, a, piece, of, fabric, into, a, masterpiece.]	[It's, incredible, how, a, tailor, can, turn, a, piece, of, fabric, into, a, masterpiece.]	@marvin2238 It's incredible how a seamstress can turn a piece of fabric into a masterpiece.	It's incredible how a tailor can turn a piece of fabric into a masterpiece.	genderednouns
87	[Every, time, I, see, a, waiter,, they're, zipping, around, the, restaurant, without, missing, a, beat.]	[Every, time, I, see, a, server,, they're, zipping, around, the, restaurant, without, missing, a, beat.]	Every time I see a waiter, they're zipping around the restaurant without missing a beat.	Every time I see a server, they're zipping around the restaurant without missing a beat.	genderednouns
88	[climate, change, will, be, the, end, of, mankind!!!]	[Climate, change, will, be, the, end, of, humanity!!!]	climate change will be the end of mankind!!!	Climate change will be the end of humanity!!!	genderednouns
89	[@marcopolo22, My, brother, is, a, foreman, at, that, construction, company.]	[My, brother, is, a, supervisor, at, that, construction, company.]	@marcopolo22 My brother is a foreman at that construction company.	My brother is a supervisor at that construction company.	genderednouns
90	[We, do, not, have, the, manpower, to, make, that, happen.]	[We, do, not, have, the, people, required, to, make, that, happen.]	We do not have the manpower to make that happen.	We do not have the people required to make that happen.	genderednouns
91	[Lol, he's, just, a, freshman]	[Lol, he's, just, a, first, year, student]	Lol he's just a freshman	Lol he's just a first year student	genderednouns
92	[They, need, to, find, a, new, anchorman, for, NBC]	[They, need, to, find, a, new, anchor, for, NBC]	They need to find a new anchorman for NBC	They need to find a new anchor for NBC	genderednouns
93	[Do, fishermen, really, have, all, those, tales,, or, are, they, just, myths?]	[Do, fishers, really, have, all, those, tales,, or, are, they, just, myths?]	Do fishermen really have all those tales, or are they just myths?	Do fishers really have all those tales, or are they just myths?	genderednouns
94	[Have, you, noticed, that, watchmen, always, have, the, most, interesting, night, stories?]	[Have, you, noticed, that, watchpeople, always, have, the, most, interesting, night, stories?]	Have you noticed that watchmen always have the most interesting night stories?	Have you noticed that watchpeople always have the most interesting night stories?	genderednouns
95	[stewards, smile, through, every, turbulence.]	[flight, attendants, smile, through, every, turbulence.]	stewards smile through every turbulence.	flight attendants smile through every turbulence.	genderednouns
96	[She, calls, herself, "anti-feminazi", how, about, shut, the, fucking, up, on, your, vile, commentary, on, an, elderly, responsible, citizen, tu, sach, muuch, ghani, baawri-bewdi, hai, bey, https://t.co/ZMxTDwsY5D]	[how, about, shut, the, fucking, up, on, your, vile, commentary, on, an, elderly, responsible, citizen, tu, sach, muuch, ghani, baawri-bewdi, hai, bey, https://t.co/ZMxTDwsY5D]	She calls herself "anti-feminazi" how about shut the fucking up on your vile commentary on an elderly responsible citizen tu sach muuch ghani baawri-bewdi hai bey https://t.co/ZMxTDwsY5D	how about shut the fucking up on your vile commentary on an elderly responsible citizen tu sach muuch ghani baawri-bewdi hai bey https://t.co/ZMxTDwsY5D	ideologicalinequality
