id	src tokenized	tgt tokenized	src raw	tgt raw	NOUN VERB	nsubj ROOT
13	Our company creates innovative solutions that benefit mankind.	Our company creates innovative solutions that benefit humanity.	Our company creates innovative solutions that benefit mankind.	Our company creates innovative solutions that benefit humanity.	PRON NOUN VERB ADJ NOUN PRON VERB NOUN PUNCT	poss nsubj ROOT amod dobj nsubj relcl dobj punct
14	"The chairman of the board took charge, calling for a meeting to discuss the company's quarterly earnings."	"The chair of the board took charge, calling for a meeting to discuss the company's quarterly earnings."	"The chairman of the board took charge, calling for a meeting to discuss the company's quarterly earnings."	"The chair of the board took charge, calling for a meeting to discuss the company's quarterly earnings."	PUNCT DET NOUN ADP DET NOUN VERB NOUN PUNCT VERB ADP DET NOUN PART VERB DET NOUN PART ADJ NOUN PUNCT PUNCT	punct det nsubj prep det pobj ROOT dobj punct advcl prep det pobj aux advcl det poss case amod dobj punct punct
15	"Despite advancements in gender equality, biases persist within mankind."	"Despite advancements in gender equality, biases persist within humankind."	"Despite advancements in gender equality, biases persist within mankind."	"Despite advancements in gender equality, biases persist within humankind."	PUNCT SCONJ NOUN ADP NOUN NOUN PUNCT NOUN VERB ADP NOUN PUNCT PUNCT	punct prep pobj prep compound pobj punct nsubj ROOT prep pobj punct punct
16	Passengers on the flight were offered refreshments by the stewardess.	Passengers on the flight were offered refreshments by the flight attendant.	Passengers on the flight were offered refreshments by the stewardess.	Passengers on the flight were offered refreshments by the flight attendant.	NOUN ADP DET NOUN AUX VERB NOUN ADP DET NOUN PUNCT	nsubjpass prep det pobj auxpass ROOT dobj prep det pobj punct
17	A salesman should pitch his product with charisma and confidence.	A salesperson should pitch their product with charisma and confidence.	A salesman should pitch his product with charisma and confidence.	A salesperson should pitch their product with charisma and confidence.	DET NOUN AUX VERB PRON NOUN ADP NOUN CCONJ NOUN PUNCT	det nsubj aux ROOT poss dobj prep pobj cc conj punct
18	"Accompanied by a friendly smile, the waitress took the patrons' orders."	"Accompanied by a friendly smile, the server took the patrons' orders."	"Accompanied by a friendly smile, the waitress took the patrons' orders."	"Accompanied by a friendly smile, the server took the patrons' orders."	PUNCT VERB ADP DET ADJ NOUN PUNCT DET NOUN VERB DET NOUN PART NOUN PUNCT PUNCT	punct advcl agent det amod pobj punct det nsubj ROOT det poss case dobj punct punct
19	"The businessman demonstrated prowess, negotiating a lucrative deal with overseas partners."	"The businessperson demonstrated prowess, negotiating a lucrative deal with overseas partners."	"The businessman demonstrated prowess, negotiating a lucrative deal with overseas partners."	"The businessperson demonstrated prowess, negotiating a lucrative deal with overseas partners."	PUNCT DET NOUN VERB NOUN PUNCT VERB DET ADJ NOUN ADP ADJ NOUN PUNCT PUNCT	punct det nsubj ROOT dobj punct advcl det amod dobj prep amod pobj punct punct
20	"Bravely rushing into the burning building, the fireman rescued trapped occupants."	"Bravely rushing into the burning building, the firefighter rescued trapped occupants."	"Bravely rushing into the burning building, the fireman rescued trapped occupants."	"Bravely rushing into the burning building, the firefighter rescued trapped occupants."	PUNCT ADV VERB ADP DET VERB NOUN PUNCT DET NOUN VERB VERB NOUN PUNCT PUNCT	punct advmod advcl prep det amod pobj punct det nsubj ROOT amod dobj punct punct
21	"Diligently completing his rounds, the postman promptly delivered mail to every household on the street."	"Diligently completing their rounds, the postal worker promptly delivered mail to every household on the street."	"Diligently completing his rounds, the postman promptly delivered mail to every household on the street."	"Diligently completing their rounds, the postal worker promptly delivered mail to every household on the street."	PUNCT ADV VERB PRON NOUN PUNCT DET NOUN ADV VERB NOUN ADP DET NOUN ADP DET NOUN PUNCT PUNCT	punct advmod advcl poss dobj punct det nsubj advmod ROOT dobj prep det pobj prep det pobj punct punct
22	"Urging unity and cooperation, the statesman addressed the nation in a televised speech."	"Urging unity and cooperation, the statesperson addressed the nation in a televised speech."	"Urging unity and cooperation, the statesman addressed the nation in a televised speech."	"Urging unity and cooperation, the statesperson addressed the nation in a televised speech."	PUNCT VERB NOUN CCONJ NOUN PUNCT DET NOUN VERB DET NOUN ADP DET VERB NOUN PUNCT PUNCT	punct advcl dobj cc conj punct det nsubj ROOT det dobj prep det amod pobj punct punct
23	Freshman students sometimes struggle to adjust to a new college environment.	First year students sometimes struggle to adjust to a new college environment.	Freshman students sometimes struggle to adjust to a new college environment.	First year students sometimes struggle to adjust to a new college environment.	NOUN NOUN ADV VERB PART VERB ADP DET ADJ NOUN NOUN PUNCT	compound nsubj advmod ROOT aux xcomp prep det amod compound pobj punct
24	"Delivering fresh dairy products to each doorstep, the milkman made rounds."	"Delivering fresh dairy products to each doorstep, the delivery person made rounds."	"Delivering fresh dairy products to each doorstep, the milkman made rounds."	"Delivering fresh dairy products to each doorstep, the delivery person made rounds."	PUNCT VERB ADJ NOUN NOUN ADP DET NOUN PUNCT DET NOUN VERB NOUN PUNCT PUNCT	punct advcl amod compound dobj prep det pobj punct det nsubj ROOT dobj punct punct
25	The congressman took a bold step and proposed a new bill aimed at reforming healthcare policies.	The congressperson took a bold step and proposed a new bill aimed at reforming healthcare policies.	The congressman took a bold step and proposed a new bill aimed at reforming healthcare policies.	The congressperson took a bold step and proposed a new bill aimed at reforming healthcare policies.	DET NOUN VERB DET ADJ NOUN CCONJ VERB DET ADJ NOUN VERB ADP VERB NOUN NOUN PUNCT	det nsubj ROOT det amod dobj cc conj det amod dobj acl prep pcomp compound dobj punct
26	"Ensuring a smooth boarding process, the steward guided passengers to their seats with a polite demeanor."	"Ensuring a smooth boarding process, the flight attendant guided passengers to their seats with a polite demeanor."	"Ensuring a smooth boarding process, the steward guided passengers to their seats with a polite demeanor."	"Ensuring a smooth boarding process, the flight attendant guided passengers to their seats with a polite demeanor."	PUNCT VERB DET ADJ NOUN NOUN PUNCT DET ADV VERB NOUN ADP PRON NOUN ADP DET ADJ NOUN PUNCT PUNCT	punct advcl det amod compound dobj punct det advmod amod ROOT prep poss pobj prep det amod pobj punct punct
27	"Collecting rent from tenants, the landlord completed his monthly duties."	"Collecting rent from tenants, the owner completed their monthly duties."	"Collecting rent from tenants, the landlord completed his monthly duties."	"Collecting rent from tenants, the owner completed their monthly duties."	PUNCT VERB NOUN ADP NOUN PUNCT DET NOUN VERB PRON ADJ NOUN PUNCT PUNCT	punct advcl dobj prep pobj punct det nsubj ROOT poss amod dobj punct punct
28	"Enticing diners at the restaurant, the waiter recommended the chef's special."	"Enticing diners at the restaurant, the server recommended the chef's special."	"Enticing diners at the restaurant, the waiter recommended the chef's special."	"Enticing diners at the restaurant, the server recommended the chef's special."	PUNCT VERB NOUN ADP DET NOUN PUNCT DET NOUN VERB DET NOUN PART ADJ PUNCT PUNCT	punct advcl dobj prep det pobj punct det nsubj ROOT det poss case dobj punct punct
29	"Displaying his skill, the cameraman captured breathtaking images of the natural landscape."	"Displaying their skill, the photographer captured breathtaking images of the natural landscape."	"Displaying his skill, the cameraman captured breathtaking images of the natural landscape."	"Displaying their skill, the photographer captured breathtaking images of the natural landscape."	PUNCT VERB PRON NOUN PUNCT DET NOUN VERB ADJ NOUN ADP DET ADJ NOUN PUNCT PUNCT	punct advcl poss dobj punct det nsubj ROOT amod dobj prep det amod pobj punct punct
30	"Inspiring faith, the clergyman delivered a moving sermon to the congregation."	"Inspiring faith, the clergy member delivered a moving sermon to the congregation."	"Inspiring faith, the clergyman delivered a moving sermon to the congregation."	"Inspiring faith, the clergy member delivered a moving sermon to the congregation."	PUNCT VERB NOUN PUNCT DET NOUN VERB DET VERB NOUN ADP DET NOUN PUNCT PUNCT	punct amod dep punct det nsubj ROOT det amod dobj prep det pobj punct punct
31	The chairwoman of the committee outlined the agenda for the upcoming meeting.	The chair of the committee outlined the agenda for the upcoming meeting.	The chairwoman of the committee outlined the agenda for the upcoming meeting.	The chair of the committee outlined the agenda for the upcoming meeting.	DET NOUN ADP DET NOUN VERB DET NOUN ADP DET ADJ NOUN PUNCT	det nsubj prep det pobj ROOT det dobj prep det amod pobj punct
32	"Conveying the decision, the foreman of the jury announced the verdict in the high-profile trial."	"Conveying the decision, the foreperson of the jury announced the verdict in the high-profile trial."	"Conveying the decision, the foreman of the jury announced the verdict in the high-profile trial."	"Conveying the decision, the foreperson of the jury announced the verdict in the high-profile trial."	PUNCT VERB DET NOUN PUNCT DET NOUN ADP DET NOUN VERB DET NOUN ADP DET ADJ PUNCT NOUN NOUN PUNCT PUNCT	punct advcl det dobj punct det nsubj prep det pobj ROOT det dobj prep det amod punct compound pobj punct punct
33	"Demonstrating expertise, the tradesman skillfully repaired the broken plumbing in the old house."	"Demonstrating expertise, the tradesperson skillfully repaired the broken plumbing in the old house."	"Demonstrating expertise, the tradesman skillfully repaired the broken plumbing in the old house."	"Demonstrating expertise, the tradesperson skillfully repaired the broken plumbing in the old house."	PUNCT NOUN NOUN PUNCT DET NOUN ADV VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT PUNCT	punct amod npadvmod punct det nsubj advmod ROOT det amod dobj prep det amod pobj punct punct
34	"Pursuing growth, the businessman expanded his empire by acquiring rival companies."	"Pursuing growth, the entrepreneur expanded their empire by acquiring rival companies."	"Pursuing growth, the businessman expanded his empire by acquiring rival companies."	"Pursuing growth, the entrepreneur expanded their empire by acquiring rival companies."	PUNCT VERB NOUN PUNCT DET NOUN VERB PRON NOUN ADP VERB ADJ NOUN PUNCT PUNCT	punct advcl dobj punct det nsubj ROOT poss dobj prep pcomp amod dobj punct punct
35	The chairman of the senate presided over the debate on proposed legislation.	The chair of the senate presided over the debate on proposed legislation.	The chairman of the senate presided over the debate on proposed legislation.	The chair of the senate presided over the debate on proposed legislation.	DET NOUN ADP DET PROPN VERB ADP DET NOUN ADP VERB NOUN PUNCT	det nsubj prep det pobj ROOT prep det pobj prep amod pobj punct
36	The spokesman addressed the media regarding the company's recent merger.	The spokesperson addressed the media regarding the company's recent merger.	The spokesman addressed the media regarding the company's recent merger.	The spokesperson addressed the media regarding the company's recent merger.	DET NOUN VERB DET NOUN VERB DET NOUN PART ADJ NOUN PUNCT	det nsubj ROOT det dobj prep det poss case amod pobj punct
37	"Ensuring satisfaction, the barman served drinks to patrons at the crowded bar."	"Ensuring satisfaction, the bartender served drinks to patrons at the crowded bar."	"Ensuring satisfaction, the barman served drinks to patrons at the crowded bar."	"Ensuring satisfaction, the bartender served drinks to patrons at the crowded bar."	PUNCT PROPN NOUN PUNCT DET NOUN VERB NOUN ADP NOUN ADP DET ADJ NOUN PUNCT PUNCT	punct compound nsubj punct det nsubj ROOT dobj prep pobj prep det amod pobj punct punct
38	"Remaining focused, the huntsman tracked the elusive prey through the dense forest."	"Remaining focused, the hunter tracked the elusive prey through the dense forest."	"Remaining focused, the huntsman tracked the elusive prey through the dense forest."	"Remaining focused, the hunter tracked the elusive prey through the dense forest."	PUNCT VERB VERB PUNCT DET NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT PUNCT	punct advcl acomp punct det nsubj ROOT det amod dobj prep det amod pobj punct punct
39	"Extending greetings, the chairman of the association welcomed new members into the fold."	"Extending greetings, the chair of the association welcomed new members into the fold."	"Extending greetings, the chairman of the association welcomed new members into the fold."	"Extending greetings, the chair of the association welcomed new members into the fold."	PUNCT VERB NOUN PUNCT DET NOUN ADP DET NOUN VERB ADJ NOUN ADP DET NOUN PUNCT PUNCT	punct advcl dobj punct det nsubj prep det pobj ROOT amod dobj prep det pobj punct punct
40	The postwoman delivered packages and parcels to residents in the neighborhood.	The postal worker delivered packages and parcels to residents in the neighborhood.	The postwoman delivered packages and parcels to residents in the neighborhood.	The postal worker delivered packages and parcels to residents in the neighborhood.	DET NOUN VERB NOUN CCONJ NOUN ADP NOUN ADP DET NOUN PUNCT	det nsubj ROOT dobj cc conj prep pobj prep det pobj punct
41	"Fostering reconciliation, the statesman brokered a peace agreement between warring factions."	"Fostering reconciliation, the diplomat brokered a peace agreement between warring factions."	"Fostering reconciliation, the statesman brokered a peace agreement between warring factions."	"Fostering reconciliation, the diplomat brokered a peace agreement between warring factions."	PUNCT VERB NOUN PUNCT DET NOUN VERB DET NOUN NOUN ADP VERB NOUN PUNCT PUNCT	punct advcl dobj punct det nsubj ROOT det compound dobj prep amod pobj punct punct
42	"Familiarizing himself with the campus, the freshman attended orientation."	"Familiarizing themselves with the campus, the first year attended orientation."	"Familiarizing himself with the campus, the freshman attended orientation."	"Familiarizing themselves with the campus, the first year attended orientation."	PUNCT VERB PRON ADP DET NOUN PUNCT DET NOUN VERB NOUN PUNCT PUNCT	punct advcl dobj prep det pobj punct det nsubj ROOT dobj punct punct
43	The handyman fixed the leaky faucet in the kitchen.	The repair person fixed the leaky faucet in the kitchen.	The handyman fixed the leaky faucet in the kitchen.	The repair person fixed the leaky faucet in the kitchen.	DET NOUN VERB DET ADJ PROPN ADP DET NOUN PUNCT	det nsubj ROOT det amod dobj prep det pobj punct
44	"Advocating for fairness, the chairman of the union negotiated better wages for the workers."	"Advocating for fairness, the union representative negotiated better wages for the workers."	"Advocating for fairness, the chairman of the union negotiated better wages for the workers."	"Advocating for fairness, the union representative negotiated better wages for the workers."	PUNCT VERB ADP NOUN PUNCT DET NOUN ADP DET NOUN VERB ADJ NOUN ADP DET NOUN PUNCT PUNCT	punct advcl prep pobj punct det nsubj prep det pobj ROOT amod dobj prep det pobj punct punct
45	The businessman jetted off to exotic destinations for important meetings.	The professional jetted off to exotic destinations for important meetings.	The businessman jetted off to exotic destinations for important meetings.	The professional jetted off to exotic destinations for important meetings.	DET NOUN VERB ADP ADP ADJ NOUN ADP ADJ NOUN PUNCT	det nsubj ROOT prt prep amod pobj prep amod pobj punct
46	"Ensuring a bountiful harvest, the farmer tended to crops with care and dedication."	"Ensuring a bountiful harvest, the farmer tended to crops with care and dedication."	"Ensuring a bountiful harvest, the farmer tended to crops with care and dedication."	"Ensuring a bountiful harvest, the farmer tended to crops with care and dedication."	PUNCT VERB DET ADJ NOUN PUNCT DET NOUN VERB ADP NOUN ADP NOUN CCONJ NOUN PUNCT PUNCT	punct advcl det amod dobj punct det nsubj ROOT prep pobj prep pobj cc conj punct punct
47	"Keeping viewers informed, the anchorman reported breaking news from around the globe."	"Keeping viewers informed, the news anchor reported breaking news from around the globe."	"Keeping viewers informed, the anchorman reported breaking news from around the globe."	"Keeping viewers informed, the news anchor reported breaking news from around the globe."	PUNCT VERB NOUN VERB PUNCT DET NOUN VERB VERB NOUN ADP ADP DET NOUN PUNCT PUNCT	punct advcl dobj xcomp punct det nsubj ROOT xcomp dobj prep prep det pobj punct punct
48	"Delighting patrons, the barmaid served drinks with a friendly smile at the local pub."	"Delighting patrons, the bartender served drinks with a friendly smile at the local pub."	"Delighting patrons, the barmaid served drinks with a friendly smile at the local pub."	"Delighting patrons, the bartender served drinks with a friendly smile at the local pub."	PUNCT NOUN NOUN PUNCT DET NOUN VERB NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT PUNCT	punct compound dep punct det nsubj ROOT dobj prep det amod pobj prep det amod pobj punct punct
49	"Maintaining order, the policeman patrolled the streets to ensure public safety."	"Maintaining order, the police officer patrolled the streets to ensure public safety."	"Maintaining order, the policeman patrolled the streets to ensure public safety."	"Maintaining order, the police officer patrolled the streets to ensure public safety."	PUNCT VERB NOUN PUNCT DET NOUN VERB DET NOUN PART VERB ADJ NOUN PUNCT PUNCT	punct amod dep punct det nsubj ROOT det dobj aux advcl amod dobj punct punct
50	The chairman of the council presided over the town hall meeting.	The chair of the council presided over the town hall meeting.	The chairman of the council presided over the town hall meeting.	The chair of the council presided over the town hall meeting.	DET NOUN ADP DET NOUN VERB ADP DET NOUN NOUN NOUN PUNCT	det nsubj prep det pobj ROOT prep det compound compound pobj punct
51	"Initiating change, the chairman of the company announced a restructuring plan to improve efficiency."	"Initiating change, the chair announced a restructuring plan to improve efficiency."	"Initiating change, the chairman of the company announced a restructuring plan to improve efficiency."	"Initiating change, the chair announced a restructuring plan to improve efficiency."	PUNCT VERB NOUN PUNCT DET NOUN ADP DET NOUN VERB DET VERB NOUN PART VERB NOUN PUNCT PUNCT	punct advcl dobj punct det nsubj prep det pobj ROOT det compound dobj aux acl dobj punct punct
52	"Providing reassurance, the spokeswoman for the organization addressed concerns raised by the public."	"Providing reassurance, the spokesperson for the organization addressed concerns raised by the public."	"Providing reassurance, the spokeswoman for the organization addressed concerns raised by the public."	"Providing reassurance, the spokesperson for the organization addressed concerns raised by the public."	PUNCT VERB NOUN PUNCT DET NOUN ADP DET NOUN VERB NOUN VERB ADP DET NOUN PUNCT PUNCT	punct advcl dobj punct det nsubj prep det pobj ROOT dobj acl agent det pobj punct punct
53	"Hoping for success, the fisherman cast his net into the river in search of a big catch."	"Hoping for success, the fisher cast their net into the river in search of a big catch."	"Hoping for success, the fisherman cast his net into the river in search of a big catch."	"Hoping for success, the fisher cast their net into the river in search of a big catch."	PUNCT VERB ADP NOUN PUNCT DET NOUN VERB PRON NOUN ADP DET NOUN ADP NOUN ADP DET ADJ NOUN PUNCT PUNCT	punct advcl prep pobj punct det nsubj ROOT poss dobj prep det pobj prep pobj prep det amod pobj punct punct
54	"Ever since I was little, I've always wanted to be a spaceman."	"Ever since I was little, I've always wanted to be an astronaut."	"Ever since I was little, I've always wanted to be a spaceman."	"Ever since I was little, I've always wanted to be an astronaut."	PUNCT ADV SCONJ PRON AUX ADJ PUNCT PRON AUX ADV VERB PART AUX DET NOUN PUNCT PUNCT	punct advmod mark nsubj advcl acomp punct nsubj aux advmod ROOT aux xcomp det attr punct punct
55	"Captivating attention, the showman entertained the audience with dazzling performances."	"Captivating attention, the performer entertained the audience with dazzling performances."	"Captivating attention, the showman entertained the audience with dazzling performances."	"Captivating attention, the performer entertained the audience with dazzling performances."	PUNCT VERB NOUN PUNCT DET NOUN VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT	punct advcl dobj punct det nsubj ROOT det dobj prep amod pobj punct punct
56	"Showcasing his talent, the craftsman meticulously carved intricate designs into the wood."	"Showcasing their talent, the artisan meticulously carved intricate designs into the wood."	"Showcasing his talent, the craftsman meticulously carved intricate designs into the wood."	"Showcasing their talent, the artisan meticulously carved intricate designs into the wood."	PUNCT VERB PRON NOUN PUNCT DET NOUN ADV VERB ADJ NOUN ADP DET NOUN PUNCT PUNCT	punct advcl poss dobj punct det nsubj advmod ROOT amod dobj prep det pobj punct punct
57	"Celebrating success, the businessman clinched a multimillion-dollar deal with a handshake and a smile."	"Celebrating success, the entrepreneur clinched a multimillion-dollar deal with a handshake and a smile."	"Celebrating success, the businessman clinched a multimillion-dollar deal with a handshake and a smile."	"Celebrating success, the entrepreneur clinched a multimillion-dollar deal with a handshake and a smile."	PUNCT VERB NOUN PUNCT DET NOUN VERB DET ADJ PUNCT NOUN NOUN ADP DET NOUN CCONJ DET NOUN PUNCT PUNCT	punct advcl dobj punct det nsubj ROOT det nummod punct compound dobj prep det pobj cc det conj punct punct
58	The guardsman stood at attention outside the royal palace.	The guard stood at attention outside the royal palace.	The guardsman stood at attention outside the royal palace.	The guard stood at attention outside the royal palace.	DET NOUN VERB ADP NOUN ADP DET ADJ NOUN PUNCT	det nsubj ROOT prep pobj prep det amod pobj punct
59	"Expressing dissent, the spokesman for the opposition party criticized the government's policies."	"Expressing dissent, the spokesperson for the opposition party criticized the government's policies."	"Expressing dissent, the spokesman for the opposition party criticized the government's policies."	"Expressing dissent, the spokesperson for the opposition party criticized the government's policies."	PUNCT VERB NOUN PUNCT DET NOUN ADP DET NOUN NOUN VERB DET NOUN PART NOUN PUNCT PUNCT	punct advcl dobj punct det nsubj prep det compound pobj ROOT det poss case dobj punct punct
60	The chairman of the board of trustees announced the establishment of a scholarship fund to promote education.	The chair of the board of trustees announced the establishment of a scholarship fund to promote education.	The chairman of the board of trustees announced the establishment of a scholarship fund to promote education.	The chair of the board of trustees announced the establishment of a scholarship fund to promote education.	DET NOUN ADP DET NOUN ADP NOUN VERB DET NOUN ADP DET NOUN NOUN PART VERB NOUN PUNCT	det nsubj prep det pobj prep pobj ROOT det dobj prep det compound pobj aux advcl dobj punct
61	"Ensuring accuracy, the draftsman meticulously drafted blueprints for the new building."	"Ensuring accuracy, the drafter meticulously drafted blueprints for the new building."	"Ensuring accuracy, the draftsman meticulously drafted blueprints for the new building."	"Ensuring accuracy, the drafter meticulously drafted blueprints for the new building."	PUNCT PROPN NOUN PUNCT DET NOUN ADV VERB NOUN ADP DET ADJ NOUN PUNCT PUNCT	punct compound ROOT punct det nsubj advmod amod appos prep det amod pobj punct punct
62	You're constantly apologizing for his tool behavior.	You're constantly apologizing for his bad behavior.	You're constantly apologizing for his tool behavior.	You're constantly apologizing for his bad behavior.	PRON AUX ADV VERB ADP PRON NOUN NOUN PUNCT	nsubj aux advmod ROOT prep poss compound pobj punct
