id	src tokenized	tgt tokenized	src raw	tgt raw
11	just closed that deal after some intense negotiations. ballsy moves pay off	just closed that deal after some intense negotiations. big moves pay off	just closed that deal after some intense negotiations. ballsy moves pay off	just closed that deal after some intense negotiations. big moves pay off
12	"guys, it's okay to show vulnerability. strength lies in being open and honest with ourselves and others. #Vulnerability #Strength"	"everyone, it's okay to show vulnerability. strength lies in being open and honest with ourselves and others. #Vulnerability #Strength"	"guys, it's okay to show vulnerability. strength lies in being open and honest with ourselves and others. #Vulnerability #Strength"	"everyone, it's okay to show vulnerability. strength lies in being open and honest with ourselves and others. #Vulnerability #Strength"
13	Our company creates innovative solutions that benefit mankind.	Our company creates innovative solutions that benefit humanity.	Our company creates innovative solutions that benefit mankind.	Our company creates innovative solutions that benefit humanity.
14	"The chairman of the board took charge, calling for a meeting to discuss the company's quarterly earnings."	"The chair of the board took charge, calling for a meeting to discuss the company's quarterly earnings."	"The chairman of the board took charge, calling for a meeting to discuss the company's quarterly earnings."	"The chair of the board took charge, calling for a meeting to discuss the company's quarterly earnings."
15	"Despite advancements in gender equality, biases persist within mankind."	"Despite advancements in gender equality, biases persist within humankind."	"Despite advancements in gender equality, biases persist within mankind."	"Despite advancements in gender equality, biases persist within humankind."
16	Passengers on the flight were offered refreshments by the stewardess.	Passengers on the flight were offered refreshments by the flight attendant.	Passengers on the flight were offered refreshments by the stewardess.	Passengers on the flight were offered refreshments by the flight attendant.
17	A salesman should pitch his product with charisma and confidence.	A salesperson should pitch their product with charisma and confidence.	A salesman should pitch his product with charisma and confidence.	A salesperson should pitch their product with charisma and confidence.
18	"Accompanied by a friendly smile, the waitress took the patrons' orders."	"Accompanied by a friendly smile, the server took the patrons' orders."	"Accompanied by a friendly smile, the waitress took the patrons' orders."	"Accompanied by a friendly smile, the server took the patrons' orders."
19	"The businessman demonstrated prowess, negotiating a lucrative deal with overseas partners."	"The businessperson demonstrated prowess, negotiating a lucrative deal with overseas partners."	"The businessman demonstrated prowess, negotiating a lucrative deal with overseas partners."	"The businessperson demonstrated prowess, negotiating a lucrative deal with overseas partners."
20	"Bravely rushing into the burning building, the fireman rescued trapped occupants."	"Bravely rushing into the burning building, the firefighter rescued trapped occupants."	"Bravely rushing into the burning building, the fireman rescued trapped occupants."	"Bravely rushing into the burning building, the firefighter rescued trapped occupants."
21	"Diligently completing his rounds, the postman promptly delivered mail to every household on the street."	"Diligently completing their rounds, the postal worker promptly delivered mail to every household on the street."	"Diligently completing his rounds, the postman promptly delivered mail to every household on the street."	"Diligently completing their rounds, the postal worker promptly delivered mail to every household on the street."
22	"Urging unity and cooperation, the statesman addressed the nation in a televised speech."	"Urging unity and cooperation, the statesperson addressed the nation in a televised speech."	"Urging unity and cooperation, the statesman addressed the nation in a televised speech."	"Urging unity and cooperation, the statesperson addressed the nation in a televised speech."
23	Freshman students sometimes struggle to adjust to a new college environment.	First year students sometimes struggle to adjust to a new college environment.	Freshman students sometimes struggle to adjust to a new college environment.	First year students sometimes struggle to adjust to a new college environment.
24	"Delivering fresh dairy products to each doorstep, the milkman made rounds."	"Delivering fresh dairy products to each doorstep, the delivery person made rounds."	"Delivering fresh dairy products to each doorstep, the milkman made rounds."	"Delivering fresh dairy products to each doorstep, the delivery person made rounds."
25	The congressman took a bold step and proposed a new bill aimed at reforming healthcare policies.	The congressperson took a bold step and proposed a new bill aimed at reforming healthcare policies.	The congressman took a bold step and proposed a new bill aimed at reforming healthcare policies.	The congressperson took a bold step and proposed a new bill aimed at reforming healthcare policies.
26	"Ensuring a smooth boarding process, the steward guided passengers to their seats with a polite demeanor."	"Ensuring a smooth boarding process, the flight attendant guided passengers to their seats with a polite demeanor."	"Ensuring a smooth boarding process, the steward guided passengers to their seats with a polite demeanor."	"Ensuring a smooth boarding process, the flight attendant guided passengers to their seats with a polite demeanor."
27	"Collecting rent from tenants, the landlord completed his monthly duties."	"Collecting rent from tenants, the owner completed their monthly duties."	"Collecting rent from tenants, the landlord completed his monthly duties."	"Collecting rent from tenants, the owner completed their monthly duties."
28	"Enticing diners at the restaurant, the waiter recommended the chef's special."	"Enticing diners at the restaurant, the server recommended the chef's special."	"Enticing diners at the restaurant, the waiter recommended the chef's special."	"Enticing diners at the restaurant, the server recommended the chef's special."
29	"Displaying his skill, the cameraman captured breathtaking images of the natural landscape."	"Displaying their skill, the photographer captured breathtaking images of the natural landscape."	"Displaying his skill, the cameraman captured breathtaking images of the natural landscape."	"Displaying their skill, the photographer captured breathtaking images of the natural landscape."
30	"Inspiring faith, the clergyman delivered a moving sermon to the congregation."	"Inspiring faith, the clergy member delivered a moving sermon to the congregation."	"Inspiring faith, the clergyman delivered a moving sermon to the congregation."	"Inspiring faith, the clergy member delivered a moving sermon to the congregation."
31	The chairwoman of the committee outlined the agenda for the upcoming meeting.	The chair of the committee outlined the agenda for the upcoming meeting.	The chairwoman of the committee outlined the agenda for the upcoming meeting.	The chair of the committee outlined the agenda for the upcoming meeting.
32	"Conveying the decision, the foreman of the jury announced the verdict in the high-profile trial."	"Conveying the decision, the foreperson of the jury announced the verdict in the high-profile trial."	"Conveying the decision, the foreman of the jury announced the verdict in the high-profile trial."	"Conveying the decision, the foreperson of the jury announced the verdict in the high-profile trial."
33	"Demonstrating expertise, the tradesman skillfully repaired the broken plumbing in the old house."	"Demonstrating expertise, the tradesperson skillfully repaired the broken plumbing in the old house."	"Demonstrating expertise, the tradesman skillfully repaired the broken plumbing in the old house."	"Demonstrating expertise, the tradesperson skillfully repaired the broken plumbing in the old house."
34	"Pursuing growth, the businessman expanded his empire by acquiring rival companies."	"Pursuing growth, the entrepreneur expanded their empire by acquiring rival companies."	"Pursuing growth, the businessman expanded his empire by acquiring rival companies."	"Pursuing growth, the entrepreneur expanded their empire by acquiring rival companies."
35	The chairman of the senate presided over the debate on proposed legislation.	The chair of the senate presided over the debate on proposed legislation.	The chairman of the senate presided over the debate on proposed legislation.	The chair of the senate presided over the debate on proposed legislation.
36	The spokesman addressed the media regarding the company's recent merger.	The spokesperson addressed the media regarding the company's recent merger.	The spokesman addressed the media regarding the company's recent merger.	The spokesperson addressed the media regarding the company's recent merger.
37	"Ensuring satisfaction, the barman served drinks to patrons at the crowded bar."	"Ensuring satisfaction, the bartender served drinks to patrons at the crowded bar."	"Ensuring satisfaction, the barman served drinks to patrons at the crowded bar."	"Ensuring satisfaction, the bartender served drinks to patrons at the crowded bar."
38	"Remaining focused, the huntsman tracked the elusive prey through the dense forest."	"Remaining focused, the hunter tracked the elusive prey through the dense forest."	"Remaining focused, the huntsman tracked the elusive prey through the dense forest."	"Remaining focused, the hunter tracked the elusive prey through the dense forest."
39	"Extending greetings, the chairman of the association welcomed new members into the fold."	"Extending greetings, the chair of the association welcomed new members into the fold."	"Extending greetings, the chairman of the association welcomed new members into the fold."	"Extending greetings, the chair of the association welcomed new members into the fold."
40	The postwoman delivered packages and parcels to residents in the neighborhood.	The postal worker delivered packages and parcels to residents in the neighborhood.	The postwoman delivered packages and parcels to residents in the neighborhood.	The postal worker delivered packages and parcels to residents in the neighborhood.
41	"Fostering reconciliation, the statesman brokered a peace agreement between warring factions."	"Fostering reconciliation, the diplomat brokered a peace agreement between warring factions."	"Fostering reconciliation, the statesman brokered a peace agreement between warring factions."	"Fostering reconciliation, the diplomat brokered a peace agreement between warring factions."
42	"Familiarizing himself with the campus, the freshman attended orientation."	"Familiarizing themselves with the campus, the first year attended orientation."	"Familiarizing himself with the campus, the freshman attended orientation."	"Familiarizing themselves with the campus, the first year attended orientation."
43	The handyman fixed the leaky faucet in the kitchen.	The repair person fixed the leaky faucet in the kitchen.	The handyman fixed the leaky faucet in the kitchen.	The repair person fixed the leaky faucet in the kitchen.
44	"Advocating for fairness, the chairman of the union negotiated better wages for the workers."	"Advocating for fairness, the union representative negotiated better wages for the workers."	"Advocating for fairness, the chairman of the union negotiated better wages for the workers."	"Advocating for fairness, the union representative negotiated better wages for the workers."
45	The businessman jetted off to exotic destinations for important meetings.	The professional jetted off to exotic destinations for important meetings.	The businessman jetted off to exotic destinations for important meetings.	The professional jetted off to exotic destinations for important meetings.
46	"Ensuring a bountiful harvest, the farmer tended to crops with care and dedication."	"Ensuring a bountiful harvest, the farmer tended to crops with care and dedication."	"Ensuring a bountiful harvest, the farmer tended to crops with care and dedication."	"Ensuring a bountiful harvest, the farmer tended to crops with care and dedication."
47	"Keeping viewers informed, the anchorman reported breaking news from around the globe."	"Keeping viewers informed, the news anchor reported breaking news from around the globe."	"Keeping viewers informed, the anchorman reported breaking news from around the globe."	"Keeping viewers informed, the news anchor reported breaking news from around the globe."
48	"Delighting patrons, the barmaid served drinks with a friendly smile at the local pub."	"Delighting patrons, the bartender served drinks with a friendly smile at the local pub."	"Delighting patrons, the barmaid served drinks with a friendly smile at the local pub."	"Delighting patrons, the bartender served drinks with a friendly smile at the local pub."
49	"Maintaining order, the policeman patrolled the streets to ensure public safety."	"Maintaining order, the police officer patrolled the streets to ensure public safety."	"Maintaining order, the policeman patrolled the streets to ensure public safety."	"Maintaining order, the police officer patrolled the streets to ensure public safety."
50	The chairman of the council presided over the town hall meeting.	The chair of the council presided over the town hall meeting.	The chairman of the council presided over the town hall meeting.	The chair of the council presided over the town hall meeting.
51	"Initiating change, the chairman of the company announced a restructuring plan to improve efficiency."	"Initiating change, the chair announced a restructuring plan to improve efficiency."	"Initiating change, the chairman of the company announced a restructuring plan to improve efficiency."	"Initiating change, the chair announced a restructuring plan to improve efficiency."
52	"Providing reassurance, the spokeswoman for the organization addressed concerns raised by the public."	"Providing reassurance, the spokesperson for the organization addressed concerns raised by the public."	"Providing reassurance, the spokeswoman for the organization addressed concerns raised by the public."	"Providing reassurance, the spokesperson for the organization addressed concerns raised by the public."
53	"Hoping for success, the fisherman cast his net into the river in search of a big catch."	"Hoping for success, the fisher cast their net into the river in search of a big catch."	"Hoping for success, the fisherman cast his net into the river in search of a big catch."	"Hoping for success, the fisher cast their net into the river in search of a big catch."
54	"Ever since I was little, I've always wanted to be a spaceman."	"Ever since I was little, I've always wanted to be an astronaut."	"Ever since I was little, I've always wanted to be a spaceman."	"Ever since I was little, I've always wanted to be an astronaut."
55	"Captivating attention, the showman entertained the audience with dazzling performances."	"Captivating attention, the performer entertained the audience with dazzling performances."	"Captivating attention, the showman entertained the audience with dazzling performances."	"Captivating attention, the performer entertained the audience with dazzling performances."
56	"Showcasing his talent, the craftsman meticulously carved intricate designs into the wood."	"Showcasing their talent, the artisan meticulously carved intricate designs into the wood."	"Showcasing his talent, the craftsman meticulously carved intricate designs into the wood."	"Showcasing their talent, the artisan meticulously carved intricate designs into the wood."
57	"Celebrating success, the businessman clinched a multimillion-dollar deal with a handshake and a smile."	"Celebrating success, the entrepreneur clinched a multimillion-dollar deal with a handshake and a smile."	"Celebrating success, the businessman clinched a multimillion-dollar deal with a handshake and a smile."	"Celebrating success, the entrepreneur clinched a multimillion-dollar deal with a handshake and a smile."
58	The guardsman stood at attention outside the royal palace.	The guard stood at attention outside the royal palace.	The guardsman stood at attention outside the royal palace.	The guard stood at attention outside the royal palace.
59	"Expressing dissent, the spokesman for the opposition party criticized the government's policies."	"Expressing dissent, the spokesperson for the opposition party criticized the government's policies."	"Expressing dissent, the spokesman for the opposition party criticized the government's policies."	"Expressing dissent, the spokesperson for the opposition party criticized the government's policies."
60	The chairman of the board of trustees announced the establishment of a scholarship fund to promote education.	The chair of the board of trustees announced the establishment of a scholarship fund to promote education.	The chairman of the board of trustees announced the establishment of a scholarship fund to promote education.	The chair of the board of trustees announced the establishment of a scholarship fund to promote education.
61	"Ensuring accuracy, the draftsman meticulously drafted blueprints for the new building."	"Ensuring accuracy, the drafter meticulously drafted blueprints for the new building."	"Ensuring accuracy, the draftsman meticulously drafted blueprints for the new building."	"Ensuring accuracy, the drafter meticulously drafted blueprints for the new building."
62	You're constantly apologizing for his tool behavior.	You're constantly apologizing for his bad behavior.	You're constantly apologizing for his tool behavior.	You're constantly apologizing for his bad behavior.
63	Y'all don't forget that Manu Ginobili is the Father of the Flop.	Y'all don't forget that Manu Ginobili is the creator of the Flop.	Y'all don't forget that Manu Ginobili is the Father of the Flop.	Y'all don't forget that Manu Ginobili is the creator of the Flop.
64	Everybody to this dick	Everybody to this bad person	Everybody to this dick	Everybody to this bad person
65	Aint sparing you bitches	Aint sparing you people	Aint sparing you bitches	Aint sparing you people
66	Wen wil our girls return?If our govt claim nt 2 ve d manpower 2 brng dem bac	Wen wil our girls return?If our govt claim nt 2 ve d power 2 brng dem bac	Wen wil our girls return?If our govt claim nt 2 ve d manpower 2 brng dem bac	Wen wil our girls return?If our govt claim nt 2 ve d power 2 brng dem bac
67	"She calls herself ""anti-feminazi"" how about shut the fucking up on your vile commentary on an elderly responsible citizen tu sach muuch ghani baawri-bewdi hai bey https://t.co/ZMxTDwsY5D"	how about shut the fucking up on your vile commentary on an elderly responsible citizen tu sach muuch ghani baawri-bewdi hai bey https://t.co/ZMxTDwsY5D	"She calls herself ""anti-feminazi"" how about shut the fucking up on your vile commentary on an elderly responsible citizen tu sach muuch ghani baawri-bewdi hai bey https://t.co/ZMxTDwsY5D"	how about shut the fucking up on your vile commentary on an elderly responsible citizen tu sach muuch ghani baawri-bewdi hai bey https://t.co/ZMxTDwsY5D
68	"@martybeckerman @ne0liberal This feels like a cold take on the surface, but I feel like this is hand waving away so much early-90s conservative media legwork that was done that has been largely paved over. Limbaugh hit it big in 92 when he uttered the fir"	"@martybeckerman @ne0liberal This feels like a cold take on the surface, but I feel like this is hand waving away so much early-90s conservative media legwork that was done that has been largely paved over."	"@martybeckerman @ne0liberal This feels like a cold take on the surface, but I feel like this is hand waving away so much early-90s conservative media legwork that was done that has been largely paved over. Limbaugh hit it big in 92 when he uttered the fir"	"@martybeckerman @ne0liberal This feels like a cold take on the surface, but I feel like this is hand waving away so much early-90s conservative media legwork that was done that has been largely paved over."
69	"@PatagoniaDon @jessesingal I'm going to start demanding that hot lesbians sleep with me, and, if they say no, I'm going to accuse them of misandry and heterophobia. I might throw in a ""racist"" or ""fascist,"" too...because why not?"	"@PatagoniaDon @jessesingal I'm going to start asking that hot lesbians sleep with me, and, if they say no, I'm going to stop."	"@PatagoniaDon @jessesingal I'm going to start demanding that hot lesbians sleep with me, and, if they say no, I'm going to accuse them of misandry and heterophobia. I might throw in a ""racist"" or ""fascist,"" too...because why not?"	"@PatagoniaDon @jessesingal I'm going to start asking that hot lesbians sleep with me, and, if they say no, I'm going to stop."
70	@medusaliker @RadfemBlack That's because she was seriously mentally ill (just like Dworkin & Millett). Radical feminism (which is more accurately described as carceral separatism) has a decades long habit of putting the unhinged front & center.	@medusaliker @RadfemBlack That's because she was seriously mentally ill (just like Dworkin & Millett). I feel like radical feminism has a decades long habit of putting the unhinged front & center.	@medusaliker @RadfemBlack That's because she was seriously mentally ill (just like Dworkin & Millett). Radical feminism (which is more accurately described as carceral separatism) has a decades long habit of putting the unhinged front & center.	@medusaliker @RadfemBlack That's because she was seriously mentally ill (just like Dworkin & Millett). I feel like radical feminism has a decades long habit of putting the unhinged front & center.
71	"@UNWomenUK @MunroeBergdorf You're a trans-woman, not A WOMAN. You're mansplaining women's rights, period."	@UNWomenUK @MunroeBergdorf  You should consider how your identity as a trans woman interacts with your view of women's rights.	"@UNWomenUK @MunroeBergdorf You're a trans-woman, not A WOMAN. You're mansplaining women's rights, period."	@UNWomenUK @MunroeBergdorf  You should consider how your identity as a trans woman interacts with your view of women's rights.
72	AYE KAM u will follow y'all because the more men y'all kil means more women for some sooooo kill all the men u want #KAM	AYE u will follow y'all	AYE KAM u will follow y'all because the more men y'all kil means more women for some sooooo kill all the men u want #KAM	AYE u will follow y'all
73	"@HeatherRoseRya1 @DebbieHayton @FemmeLoves @RealWumben @jackappleby @FionneOrlander @artymortyarty It must bother you that you're a supposed feminist, but you suddenly find yourself in lockstep with the Religious Right, when you've probably fought them on"	"@HeatherRoseRya1 @DebbieHayton @FemmeLoves @RealWumben @jackappleby @FionneOrlander @artymortyarty As a feminist, you find yourself in lockstep with the Religious Right, when you've probably fought them on everything all your life. They didn't suddenly be"	"@HeatherRoseRya1 @DebbieHayton @FemmeLoves @RealWumben @jackappleby @FionneOrlander @artymortyarty It must bother you that you're a supposed feminist, but you suddenly find yourself in lockstep with the Religious Right, when you've probably fought them on"	"@HeatherRoseRya1 @DebbieHayton @FemmeLoves @RealWumben @jackappleby @FionneOrlander @artymortyarty As a feminist, you find yourself in lockstep with the Religious Right, when you've probably fought them on everything all your life. They didn't suddenly be"
74	"@lockrocks80 @MsKherzi Just wait a few years, and the Lobbist Feminazi will pass laws allowing killing us..."	"@lockrocks80 @MsKherzi Just wait a few years, and the Lobbist feminists might pass laws allowing killing us..."	"@lockrocks80 @MsKherzi Just wait a few years, and the Lobbist Feminazi will pass laws allowing killing us..."	"@lockrocks80 @MsKherzi Just wait a few years, and the Lobbist feminists might pass laws allowing killing us..."
75	There's been an influx of people who refer to themselves as gender critical radical feminists - be aware that these people are part of a hate group that radical right wing evangelicals finance to break up the LGBTQIA+ unity. Their goal is to legalize conversion therapy.	There's been an influx of people who refer to themselves as gender critical radical feminists - be aware that these people are part of a group that radical right wing evangelicals finance to break up the LGBTQIA+ unity. Their goal is to legalize conversion therapy.	There's been an influx of people who refer to themselves as gender critical radical feminists - be aware that these people are part of a hate group that radical right wing evangelicals finance to break up the LGBTQIA+ unity. Their goal is to legalize conversion therapy.	There's been an influx of people who refer to themselves as gender critical radical feminists - be aware that these people are part of a group that radical right wing evangelicals finance to break up the LGBTQIA+ unity. Their goal is to legalize conversion therapy.
76	@GuySquiggs Thankful they are setting the bar low. They could have some anti-patriarchy feminazi from Sweden bitching about USA death penalty- like Greta Thuneberg	@GuySquiggs Thankful they are setting the bar low. 	@GuySquiggs Thankful they are setting the bar low. They could have some anti-patriarchy feminazi from Sweden bitching about USA death penalty- like Greta Thuneberg	@GuySquiggs Thankful they are setting the bar low. 
77	What absolute tosh is this article??? What kind of idiot writes this in the 21st century?? Can you imagine this being asked of a man??? #EveryDaySexism #women  https://t.co/9rEwZzFYMQ	What absolute tosh is this article??? What kind of idiot writes this in the 21st century?? Can you imagine this being asked of a man???  https://t.co/9rEwZzFYMQ	What absolute tosh is this article??? What kind of idiot writes this in the 21st century?? Can you imagine this being asked of a man??? #EveryDaySexism #women  https://t.co/9rEwZzFYMQ	What absolute tosh is this article??? What kind of idiot writes this in the 21st century?? Can you imagine this being asked of a man???  https://t.co/9rEwZzFYMQ
78	@nubianqueen_5 @Murky__Meg Is that the same woman who 'empowered herself' by using men to climb her social ladder!!!!	@nubianqueen_5 @Murky__Meg Is that the same woman who 'empowered herself' by using others to climb her social ladder!!!!	@nubianqueen_5 @Murky__Meg Is that the same woman who 'empowered herself' by using men to climb her social ladder!!!!	@nubianqueen_5 @Murky__Meg Is that the same woman who 'empowered herself' by using others to climb her social ladder!!!!
79	"If you're a man talking to a woman, shut the fuck up. We've heard enough of your mansplaining."	Men should consider how they talk to women to avoid overexplaining things	"If you're a man talking to a woman, shut the fuck up. We've heard enough of your mansplaining."	Men should consider how they talk to women to avoid overexplaining things
80	people will claim misandry isn't real ok  geniuses then why is there only one pussy option in cyberpunk 2077	people will claim misandry isn't real ok  geniuses then why is there only one female option in cyberpunk 2077	people will claim misandry isn't real ok  geniuses then why is there only one pussy option in cyberpunk 2077	people will claim misandry isn't real ok  geniuses then why is there only one female option in cyberpunk 2077
81	"@Autumn_Constant @men_are_human WRONG, they are victims of feminismFeminism is an ideology based on nothing but the hatred of men and boys and special status for women in all things!"	"@Autumn_Constant @men_are_human WRONG, Feminism is an ideology "	"@Autumn_Constant @men_are_human WRONG, they are victims of feminismFeminism is an ideology based on nothing but the hatred of men and boys and special status for women in all things!"	"@Autumn_Constant @men_are_human WRONG, Feminism is an ideology "
82	whole season which make me not enjoy the show. I used to enjoy the show before they started pushing the agenda that men r bad & women r the heros the  need bs. Idk maybe I'm misinterpreting it but it's best to express my opinion & see if people have similar feeling about it.	whole season which make me not enjoy the show. I used to enjoy the show before they started pushing their agenda. Idk maybe I'm misinterpreting it but it's best to express my opinion & see if people have similar feeling about it.	whole season which make me not enjoy the show. I used to enjoy the show before they started pushing the agenda that men r bad & women r the heros the  need bs. Idk maybe I'm misinterpreting it but it's best to express my opinion & see if people have similar feeling about it.	whole season which make me not enjoy the show. I used to enjoy the show before they started pushing their agenda. Idk maybe I'm misinterpreting it but it's best to express my opinion & see if people have similar feeling about it.
83	"I hate those ladies who are "" men this men that"" like ya shit stinks too we just don't need to tweet about it every second and if we do ya jump down our throats. There is good and bad in every circle ya need to understand that. I'm not saying the bad ones should get a pass on the"	I hate women who are think all men are bad and don't acknowledge that women do bad things too. There is good and bad in every circle ya need to understand that. I'm not saying the bad ones should get a pass on the	"I hate those ladies who are "" men this men that"" like ya shit stinks too we just don't need to tweet about it every second and if we do ya jump down our throats. There is good and bad in every circle ya need to understand that. I'm not saying the bad ones should get a pass on the"	I hate women who are think all men are bad and don't acknowledge that women do bad things too. There is good and bad in every circle ya need to understand that. I'm not saying the bad ones should get a pass on the
84	"@cancelledparty 1- There's no such thing as ""Feminism"",it's a complicated, overly-marketed word, There's only striving for Equality between Men and Women in all Fields.2-Women's power comes from their ability and freedom to CHOOSE their appearance, The sa"	"@cancelledparty 1- There's only striving for Equality between Men and Women in all Fields.2-Women's power comes from their ability and freedom to CHOOSE their appearance, The same freedom Men has. It's quite simple."	"@cancelledparty 1- There's no such thing as ""Feminism"",it's a complicated, overly-marketed word, There's only striving for Equality between Men and Women in all Fields.2-Women's power comes from their ability and freedom to CHOOSE their appearance, The sa"	"@cancelledparty 1- There's only striving for Equality between Men and Women in all Fields.2-Women's power comes from their ability and freedom to CHOOSE their appearance, The same freedom Men has. It's quite simple."
85	i just wanna be a trophy wife or a trust fund baby and since the second one isn't happening then im gonna work towards the first goal	i just wanna be a rich wife or a trust fund baby and since the second one isn't happening then im gonna work towards the first goal	i just wanna be a trophy wife or a trust fund baby and since the second one isn't happening then im gonna work towards the first goal	i just wanna be a rich wife or a trust fund baby and since the second one isn't happening then im gonna work towards the first goal
86	A good doctor should help his patients understand their diagnoses and treatment options.	A good doctor should help their patients understand their diagnoses and treatment options.	A good doctor should help his patients understand their diagnoses and treatment options.	A good doctor should help their patients understand their diagnoses and treatment options.
87	Comforting her patients during times of distress is a crucial task for a caring nurse.	Comforting their patients during times of distress is a crucial task for a caring nurse.	Comforting her patients during times of distress is a crucial task for a caring nurse.	Comforting their patients during times of distress is a crucial task for a caring nurse.
88	The skilled mechanic's repair job begins with checking his tools.	The skilled mechanic's repair job begins with checking their tools.	The skilled mechanic's repair job begins with checking his tools.	The skilled mechanic's repair job begins with checking their tools.
89	"To foster strong relationships, a responsible parent spends quality time with his children."	"To foster strong relationships, a responsible parent spends quality time with their children."	"To foster strong relationships, a responsible parent spends quality time with his children."	"To foster strong relationships, a responsible parent spends quality time with their children."
90	"Before serving his dishes to customers, a diligent chef must taste-test them."	"Before serving their dishes to customers, a diligent chef must taste-test them."	"Before serving his dishes to customers, a diligent chef must taste-test them."	"Before serving their dishes to customers, a diligent chef must taste-test them."
91	Offering his shoulder during difficult times is a hallmark of a supportive friend.	Offering their shoulder during difficult times is a hallmark of a supportive friend.	Offering his shoulder during difficult times is a hallmark of a supportive friend.	Offering their shoulder during difficult times is a hallmark of a supportive friend.
92	"The reliable police officer patrols the streets, protecting his community from crime and violence."	"The reliable police officer patrols the streets, protecting their community from crime and violence."	"The reliable police officer patrols the streets, protecting his community from crime and violence."	"The reliable police officer patrols the streets, protecting their community from crime and violence."
93	"Greeting guests with warmth and hospitality, a thoughtful host sets the tone for the evening."	"Greeting guests with warmth and hospitality, a thoughtful host sets the tone for the evening."	"Greeting guests with warmth and hospitality, a thoughtful host sets the tone for the evening."	"Greeting guests with warmth and hospitality, a thoughtful host sets the tone for the evening."
94	A dedicated coach pushes his players to reach their full potential.	A dedicated coach pushes their players to reach their full potential.	A dedicated coach pushes his players to reach their full potential.	A dedicated coach pushes their players to reach their full potential.
95	"Addressing students' concerns with care, a compassionate teacher fosters a supportive environment."	"Addressing students' concerns with care, a compassionate teacher fosters a supportive environment."	"Addressing students' concerns with care, a compassionate teacher fosters a supportive environment."	"Addressing students' concerns with care, a compassionate teacher fosters a supportive environment."
